School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
White River Valley Jr/Sr High Sch,268,,,,,-87.04660349999999,39.0352946
21st Century Charter Sch of Gary,266,,,,,-87.33881699999999,41.6007206
Southern Wells Jr-Sr High Sch,266,,,,,-85.27987,40.6076036
Springs Valley Comm High Sch,266,,,,,-86.61697199999999,38.5489731
Washington Twp Middle/High School,266,,,,,-86.9945285,41.4844935
North White Jr/Sr High School,265,,,,,-86.8756643,40.8675418
Jac-Cen-Del Jr-Sr High School,263,,,,,-85.29480029999999,39.1402889
S.B. Career Academy,263,,,,,-86.331558,41.7277848
Triton Jr-Sr High Sch,261,,,,,-86.1090019,41.3013485
Indpls. Metropolitan High Sch,258,,,,,-86.1917706,39.7736692
West Washington Jr-Sr HS,257,,,,,-86.23446600000001,38.583932
Providence Cristo Rey HS,255,,,,,-86.2024856,39.7676282
Lanesville Jr-Sr HS,253,,,,,-85.9888677,38.2394083
Indpls. Lutheran High School,251,,,,,-86.0622193,39.6874613
Clay City Jr-Sr High School,249,,,,,-87.1100096,39.2795639
Culver Community High Sch,249,,,,,-86.42521579999999,41.2238137
Anderson Preparatory Academy,247,,,,,-85.6804128,40.0864699
North Vermillion High School,245,,,,,-87.45259170000001,39.9676332
Morgan Township Middle/High School,244,,,,,-87.024659,41.392245
Christian Academy of Indiana,241,,,,,-85.8289458,38.3257356
F.W. Blackhawk Christian Jr-Sr HS,241,,,,,-85.04571969999999,41.1050294
Shakamak Jr-Sr High Sch,240,,,,,-87.04660349999999,39.0352946
Cowan High School,238,,,,,-85.39327109999999,40.1077418
Tri-County Middle-Senior High,234,,,,,-87.0855283,40.736303
Rising Sun High School,233,,,,,-84.8595567,38.9501149
Christel House Academy,232,,,,,-86.14827269999999,39.7278877
Borden High School,230,,,,,-85.9477132,38.4694128
Bloomfield Jr-Sr High School,228,,,,,-86.946704,39.025011
Caston Jr-Sr High Sch,228,,,,,-86.28219519999999,40.9116983
Southwestern (Shelby) High School,227,,,,,-85.84503959999999,39.43826139999999
Orleans Jr-Sr High Sch,226,,,,,-86.4544227,38.66788020000001
New Washington Middle/High School,225,,,,,-85.54140699999999,38.5656272
Rockville Jr-Sr High School,224,,,,,-87.2331699,39.768405
Attica High School,223,,,,,-87.25062899999999,40.277395
South Newton Senior High Sch,220,,,,,-87.38433119999999,40.8079239
South Central (Elizabeth) Jr & Sr HS,212,,,,,-86.0018116,38.0820991
Oldenburg Academy,210,,,,,-85.2007007,39.3425846
Barr Reeve Jr-Sr High School,203,,,,,-87.049189,38.668275
Faith Christian School,203,,,,,-86.7983328,40.4187056
Frontier Jr-Sr High School,202,,,,,-86.86279900000001,40.6642995
Argos Comm Jr-Sr High School,198,,,,,-86.25032240000002,41.24131
Morristown Jr-Sr High School,194,,,,,-85.70174329999999,39.6725742
Blue River Valley Jr-Sr HS,186,,,,,-85.328867,40.001838
Lakewood Park Christian Sch,186,,,,,-85.0466916,41.3320724
Elkhart Christian Academy,185,,,,,-85.9633077,41.63949789999999
Indiana Math & Science Academy,185,,,,,-86.1209423,39.8898852
Oregon-Davis Jr-Sr High School,182,,,,,-86.55225100000001,41.38846600000001
Greenwood Christian Academy,180,,,,,-86.122723,39.584151
Shoals Comm Jr-Sr High Sch,177,,,,,-86.7776262,38.66743779999999
Randolph Southern Jr-Sr High Sch,172,,,,,-84.9455942,40.052241
International Sch of Indiana HS,165,,,,,-86.186585,39.834057
Waldron Jr-Sr High School,163,,,,,-85.661158,39.453185
Turkey Run High School,159,,,,,-87.2118179,39.876897
Liberty Christian School,150,,,,,-85.6675082,40.0929057
Bethany Christian School,148,,,,,-85.8271025,41.5455148
Trinity Lutheran HS,142,,,,,-85.877177,38.985783
Rock Creek Community Academy,137,,,,,-85.7621701,38.439949
Hamilton Community High Sch,121,,,,,-84.9197758,41.5221893
Crothersville Jr-Sr High School,120,,,,,-85.8365242,38.797841
LaCrosse Elem & High School,118,,,,,-86.8896859,41.317746
Eminence Jr-Sr High School,116,,,,,-86.64184209999999,39.5242778
Indiana School For The Deaf,115,,,,,-86.1354765,39.8337753
Shawe Memorial HS,109,,,,,-85.3889876,38.7581139
Union (Modoc) Junior & High School,107,,,,,-85.1413044,40.0470503
Bethesda Christian School,106,,,,,-86.412057,39.877906
Covenant Christian (DeMotte) HS,99,,,,,-87.20514419999999,41.1875696
Lakeland Christian Academy,99,,,,,-85.79582630000002,41.2191718
Vincennes Rivet Middle & HS,98,,,,,-87.5342088,38.6780842
Traders Point Christian Academy *,96,,,,,-86.3629354,39.9461919
Seton Catholic High School,92,,,,,-84.8954085,39.824989
Evansville Day School,81,,,,,-87.49492939999999,38.0106021
Cannelton Elem & High School,73,,,,,-86.74398579999999,37.9100712
Medora Jr & Sr High School,73,,,,,-86.17227179999999,38.8246124
Washington Catholic Mid/HS,71,,,,,-87.17358970000001,38.6593116
Central Christian Academy,58,,,,,-86.12419659999999,39.73122499999999
Indiana School For The Blind,57,,,,,-86.143404,39.89353699999999
Smith Academy for Excellence,33,,,,,-85.1485764,41.0756452
